Label,StopwordRemovedSentence
positive,see clearly cried sediment waters covered whole earth formed second period existence schists calcareous rocks
positive,turning backs granite rocks like people hamburg would go lubeck way hanover
neutral,might well kept observations
positive,geological enthusiasm got better however cooler judgment professor hardwigg heard observations
positive,matter
positive,said tone great gravity
negative,well cried see different layers calcareous rocks first indication slate strata
neutral,well
neutral,arrived period world existence first plants first animals made appearance
neutral,think
positive,yes look examine judge
neutral,induced professor difficulty cast light lamp sides long winding gallery
neutral,expected exclamation burst lips
negative,much mistaken
positive,worthy professor never spoke word
neutral,impossible say whether understood
positive,perhaps possible pride uncle learned professor like wrong chosen eastern tunnel determined price go end
positive,quite evident left region lava road going could take us back great crater mount sneffels
positive,went along could help ruminating whole question asked lay great stress sudden peculiar modifications earth crust
negative,likely mistaken within range probability possibility making way strata rocks believed recognized piled lower layer granitic formation
positive,events right thought must certainly find remains primitive plants absolutely necessary give way indubitable evidence
positive,let us good search
negative,accordingly lost opportunity searching gone hundred yards evidence sought cropped incontestable manner eyes
positive,quite natural expect find signs silurian period seas contained fewer fifteen hundred different animal vegetable species
positive,feet long accustomed hard arid lava soil suddenly found treading kind soft dust remains plants shells
positive,upon walls could clearly make outline plain sun picture fucus lycopods
positive,worthy excellent professor hardwigg could course make mistake matter believe deliberately closed eyes continued way firm unalterable step
positive,began think carrying obstinacy great deal far
neutral,could longer act prudence composure
positive,stooped sudden picked almost perfect shell undoubtedly belonged animal much resembling present day
positive,secured prize followed wake uncle
neutral,see
neutral,said
neutral,well said professor imperturbable tranquillity shell crustaceous animal extinct order trilobites nothing assure
negative,cried much troubled coolness draw conclusion
neutral,well may ask conclusion draw
positive,well thought know boy would say right perfectly incontestably right
negative,finally abandoned crust lava road lava ascended
negative,quite possible may mistaken shall unable discover error get end gallery
negative,quite right far concerned replied highly approve decision fear greatest dangers
neutral,
positive,want water
positive,well dear henry helped
neutral,must put rations
neutral,went
positive,truth compelled put upon rations
neutral,supply would certainly last three days
